iter	Logloss
0	0.5635980162
1	0.5132451731
2	0.4907371161
3	0.4778664187
4	0.4711240824
5	0.4635694101
6	0.4611783419
7	0.4599195851
8	0.4560419914
9	0.4551863339
10	0.4529419417
11	0.4523441351
12	0.4518496825
13	0.4514892605
14	0.449945684
15	0.4489682787
16	0.4486039491
17	0.4483783325
18	0.4481229927
19	0.4476549034
20	0.4470247198
21	0.4466472838
22	0.4461989369
23	0.4458428458
24	0.4457480765
25	0.4456318165
26	0.4455550497
27	0.4454947079
28	0.4453903969
29	0.4453029966
30	0.4452397091
31	0.4451821054
32	0.4451295227
33	0.4450687072
34	0.4450188052
35	0.444704133
36	0.4445945446
37	0.4444246692
38	0.4443880599
39	0.4442875375
40	0.4440685688
41	0.4440373131
42	0.4439855409
43	0.4437135946
44	0.4433574811
45	0.4430596867
46	0.442929907
47	0.4427936239
48	0.4427409072
49	0.4427090384
50	0.4425628157
51	0.4423602882
52	0.4422620829
53	0.4422229965
54	0.4421739864
55	0.4421376115
56	0.4421019002
57	0.4420592968
58	0.4417669291
59	0.4415830901
60	0.4414790062
61	0.4414353719
62	0.4412603599
63	0.4412203861
64	0.4411802725
65	0.4411410637
66	0.4410229543
67	0.4409872624
68	0.4409476341
69	0.4408220584
70	0.4405597982
71	0.4405033984
72	0.4404700839
73	0.4404144445
74	0.4403100126
75	0.4402836225
76	0.4402534938
77	0.4401859462
78	0.4401553145
79	0.4401198374
80	0.4400802348
81	0.4400443734
82	0.4400094333
83	0.4399038014
84	0.4398627555
85	0.4398315007
86	0.4397983827
87	0.43974357
88	0.4397427091
89	0.4397121819
