iter	Passed	Remaining
0	1796	357520
1	3534	349882
2	5207	341978
3	6875	336888
4	8529	332650
5	13863	448260
6	17596	485157
7	19240	461774
8	20697	439256
9	22176	421345
10	24224	416212
11	28887	452569
12	32333	465108
13	33852	449748
14	35127	433238
15	36602	420924
16	38282	412100
17	42660	431341
18	46715	445027
19	48316	434846
20	49905	425381
21	51385	415753
22	52747	405928
23	55639	408024
24	60018	420128
25	62756	419985
26	64286	411910
27	66300	407276
28	67962	400744
29	71682	406202
30	76645	417842
31	78366	411423
32	79932	404508
33	81904	399888
34	83434	393332
35	88588	403568
36	92852	409052
37	94911	404621
38	96674	399092
39	98262	393049
40	102321	396808
41	107132	403021
42	108985	397922
43	110683	392422
44	112246	386627
45	114296	382645
46	118729	386502
47	122431	387700
48	124176	382666
49	125870	377610
50	127512	372535
51	130565	371608
52	135698	376370
53	138088	373349
54	138576	365339
55	140186	360479
56	141652	355373
57	143327	350905
58	145142	346865
59	146920	342813
60	151378	344943
61	152691	339861
62	153708	334253
63	154550	328419
64	156168	324350
65	157367	319503
66	160451	318509
67	163246	316889
68	167563	318128
69	169097	314038
70	170369	309544
71	171271	304482
72	171921	299096
73	172776	294187
74	175707	292845
75	178350	290992
76	181860	290505
77	183128	286431
78	183961	281764
79	185501	278252
80	186978	274696
81	189049	272046
82	192170	270890
83	196917	271934
84	198795	268958
85	200340	265567
86	201850	262174
87	202885	258218
88	205461	256249
89	210032	256706
90	212279	254269
91	213332	250434
92	214482	246770
93	215290	242774
94	216929	239764
95	217594	235727
96	219798	233394
97	222541	231624
98	223681	228200
99	229661	229661
100	231770	227180
101	232832	223701
102	234153	220513
103	235830	217689
104	237035	214460
105	237681	210774
106	238378	207189
107	239290	203840
108	240870	201093
109	242347	198284
110	246286	197473
111	251638	197715
112	253450	195134
113	254559	192035
114	256199	189365
115	257723	186627
116	261268	185344
117	265610	184576
118	267640	182175
119	268951	179301
120	273515	178576
121	276143	176550
122	276752	173251
123	278210	170515
124	279916	167949
125	281530	165343
126	283082	162716
127	284737	160165
128	286307	157580
129	287760	154947
130	288924	152181
131	290262	149529
132	291984	147090
133	293394	144507
134	294153	141629
135	294941	138795
136	296321	136264
137	298034	133899
138	298787	131122
139	299867	128514
140	300831	125879
141	301862	123295
142	303313	120901
143	304810	118537
144	305933	116043
145	307610	113773
146	308858	111357
147	310177	108981
148	311530	106631
149	312268	104089
150	313411	101703
151	314047	99172
152	315331	96866
153	316878	94651
154	318404	92440
155	320002	90257
156	321576	88075
157	323201	85914
158	324682	83723
159	326230	81557
160	327740	79390
161	329453	77279
162	331028	75141
163	332545	72997
164	334098	70869
165	335407	68697
166	336448	66483
167	337709	64325
168	339305	62239
169	341040	60183
170	342964	58163
171	344440	56071
172	346024	54003
173	347886	51983
174	349209	49887
175	350786	47834
176	352499	45805
177	359502	44432
178	361888	42456
179	363380	40375
180	364702	38283
181	366354	36232
182	368099	34195
183	369507	32131
184	371450	30117
185	373473	28110
186	375048	26072
187	376468	24029
188	378030	22001
189	379845	19991
190	381918	17996
191	383745	15989
192	385768	13991
193	387753	11992
194	388952	9973
195	390901	7977
196	392758	5981
197	394448	3984
198	396332	1991
199	398007	0
